epoch,auc,binary_accuracy,loss,lr,precision,recall,val_auc,val_binary_accuracy,val_loss,val_lr,val_precision,val_recall
0,0.0,0.8888888955116272,0.6931471824645996,1e-04,0.0,0.0,NA,NA,NA,NA,NA,NA
1,0.0,1.0,0.6929008960723877,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
2,0.0,1.0,0.6926147937774658,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
3,0.0,1.0,0.6924011707305908,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
4,0.0,1.0,0.6921122670173645,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
5,0.0,1.0,0.6917428970336914,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
6,0.0,1.0,0.6915188431739807,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
7,0.0,1.0,0.6912879347801208,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
8,0.0,1.0,0.6907069683074951,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
9,0.0,1.0,0.6904777884483337,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
10,0.0,1.0,0.6902740001678467,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
11,0.0,1.0,0.6898841857910156,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
12,0.0,1.0,0.689688503742218,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
13,0.0,1.0,0.6894837021827698,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
14,0.0,1.0,0.6887991428375244,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
15,0.0,1.0,0.6888274550437927,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
16,0.0,1.0,0.6885879039764404,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
17,0.0,1.0,0.6881420016288757,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
18,0.0,1.0,0.6876590251922607,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
19,0.0,1.0,0.6878705024719238,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
20,0.0,1.0,0.6871109008789062,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
21,0.0,1.0,0.6871330738067627,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
22,0.0,1.0,0.6866071224212646,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
23,0.0,1.0,0.6858010292053223,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
24,0.0,1.0,0.6865127086639404,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
25,0.0,1.0,0.685308039188385,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
26,0.0,1.0,0.6857755780220032,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
27,0.0,1.0,0.6844990253448486,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
28,0.0,1.0,0.6839560866355896,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
29,0.0,1.0,0.6843220591545105,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
30,0.0,1.0,0.6843894720077515,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
31,0.0,1.0,0.6829312443733215,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
32,0.0,1.0,0.6833251714706421,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
33,0.0,1.0,0.6835525035858154,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
34,0.0,1.0,0.6819775104522705,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
35,0.0,1.0,0.6816287636756897,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
36,0.0,1.0,0.6820046901702881,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
37,0.0,1.0,0.6811973452568054,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
38,0.0,1.0,0.681930422782898,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
39,0.0,1.0,0.6798504590988159,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
40,0.0,1.0,0.6804059743881226,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
41,0.0,1.0,0.6797614693641663,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
42,0.0,1.0,0.679679274559021,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
43,0.0,1.0,0.6794393658638,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
44,0.0,1.0,0.6786682605743408,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
45,0.0,1.0,0.6778338551521301,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
46,0.0,1.0,0.6771300435066223,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
47,0.0,1.0,0.6770594120025635,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
48,0.0,1.0,0.6782445907592773,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
49,0.0,1.0,0.6761462092399597,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
